nodeId,phyId,linkIndex,devType,nodeIdFar,phyIdFar,linkIndexFar,devTypeFar
001,11,021,0,003,01,018,0
001,11,020,0,003,01,019,0
001,11,023,0,003,01,023,0
001,11,022,0,003,01,022,0
001,11,019,0,003,01,016,0
001,11,018,0,003,01,017,0
001,11,017,0,003,01,021,0
001,11,016,0,003,01,020,0
000,12,007,0,004,00,027,0
000,12,006,0,004,00,026,0
000,12,005,0,004,00,030,0
000,12,004,0,004,00,031,0
000,12,001,0,004,00,032,0
000,12,000,0,004,00,033,0
000,12,003,0,004,00,035,0
000,12,002,0,004,00,034,0
000,12,021,0,004,00,010,0
000,12,020,0,004,00,011,0
000,12,023,0,004,00,015,0
000,12,022,0,004,00,014,0
000,12,019,0,004,00,008,0
000,12,018,0,004,00,009,0
000,12,017,0,004,00,013,0
000,12,016,0,004,00,012,0
001,12,007,0,004,00,001,0
001,12,006,0,004,00,000,0
001,12,005,0,004,00,004,0
001,12,004,0,004,00,005,0
001,12,001,0,004,00,003,0
001,12,000,0,004,00,002,0
001,12,003,0,004,00,006,0
001,12,002,0,004,00,007,0
001,12,021,0,004,00,018,0
001,12,020,0,004,00,019,0
001,12,023,0,004,00,023,0
001,12,022,0,004,00,022,0
001,12,019,0,004,00,016,0
001,12,018,0,004,00,017,0
001,12,017,0,004,00,021,0
001,12,016,0,004,00,020,0
000,13,007,0,004,01,027,0
000,13,006,0,004,01,026,0
000,13,005,0,004,01,030,0
000,13,004,0,004,01,031,0
000,13,001,0,004,01,032,0
000,13,000,0,004,01,033,0
000,13,003,0,004,01,035,0
000,13,002,0,004,01,034,0
000,13,021,0,004,01,010,0
000,13,020,0,004,01,011,0
000,13,023,0,004,01,015,0
000,13,022,0,004,01,014,0
000,13,019,0,004,01,008,0
000,13,018,0,004,01,009,0
000,13,017,0,004,01,013,0
000,13,016,0,004,01,012,0
001,13,007,0,004,01,001,0
001,13,006,0,004,01,000,0
001,13,005,0,004,01,004,0
001,13,004,0,004,01,005,0
001,13,001,0,004,01,003,0
001,13,000,0,004,01,002,0
001,13,003,0,004,01,006,0
001,13,002,0,004,01,007,0
001,13,021,0,004,01,018,0
001,13,020,0,004,01,019,0
001,13,023,0,004,01,023,0
001,13,022,0,004,01,022,0
001,13,019,0,004,01,016,0
001,13,018,0,004,01,017,0
001,13,017,0,004,01,021,0
001,13,016,0,004,01,020,0
